dict_id,n_gold_rows,recall_anywhere,recall_billex,recall_morph,kata_tujuan_dl_n,kata_tujuan_dl_mean,kata_tujuan_dl_pct_085,kata_tujuan_dl_pct_090,kata_tujuan_dl_pct_100,form_dl_n,form_dl_mean,form_dl_pct_085,form_dl_pct_090,form_dl_pct_100,makna_dl_n,makna_dl_mean,makna_dl_pct_085,makna_dl_pct_090,makna_dl_pct_100,n_parcor_gold,parcor_found_rate,parcor_asal_dl_mean,parcor_tujuan_dl_mean,parcor_avg_dl_mean,parcor_pct_avg_085
18,260,0.6615,0.6462,0.2269,128,0.7968,0.6406,0.6016,0.5312,53,0.7799,0.7736,0.7736,0.7736,29,0.3878,0.2414,0.2414,0.1724,0,,,,,
34,26,0.2692,0.2692,0.2308,7,0.141,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.027,0.0,0.0,0.0,1,0.0,,,,
42,40,0.15,0.15,0.125,1,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,4,0.2801,0.0,0.0,0.0,22,0.0,,,,
54,213,0.277,0.2723,0.0939,53,0.9397,0.9245,0.9245,0.9057,19,0.386,0.2632,0.2632,0.2632,0,,,,,141,0.0,,,,
68,178,0.8876,0.8876,0.4888,105,0.6816,0.5429,0.5143,0.4571,87,0.9377,0.931,0.931,0.931,54,0.5755,0.5,0.4815,0.2037,168,0.0,,,,
71,149,0.7047,0.7047,0.0268,103,0.9668,0.9417,0.932,0.9223,4,0.6667,0.5,0.5,0.5,4,0.25,0.25,0.25,0.25,126,0.0,,,,
89,155,0.9548,0.9548,0.1355,145,0.8898,0.8414,0.8345,0.8276,20,0.8,0.8,0.8,0.8,8,0.375,0.375,0.375,0.375,142,0.0,,,,
