rule_name,metric_column,direction,threshold,method,justification,n_flagged,n_total,reference_dict_values
billex_too_few_rows,billex_rows,low,2128.95,bimodal_valley_widened_for_references,"Distribution is bimodal with peaks near 1679.500 and 5710.300. Valley at 5038.500 separates the two modes, placing 88% of dictionaries on the unfavorable side. WIDENED: original threshold would have flagged reference dict(s), adjusted to 2128.950 so all 4 references pass.",52,68,3800.000; 2241.000; 6936.000; 10077.000
billex_high_null_rate,billex_null_rate,high,0.0017,quantile_90_widened_for_references,"Distribution is unimodal; threshold set at the 90% percentile (0.002) so that roughly 10% of dictionaries are flagged. WIDENED: original threshold would have flagged reference dict(s), adjusted to 0.002 so all 4 references pass.",6,67,0.000; 0.000; 0.002; 0.000
billex_high_multiword_ind,billex_multiword_ind_rate,high,0.6667,quantile_75,Distribution is unimodal; threshold set at the 75% percentile (0.667) so that roughly 25% of dictionaries are flagged.,15,67,0.088; 0.091; 0.028; 0.061
morph_too_few_rows,morph_rows,low,949.05,bimodal_valley_widened_for_references,"Distribution is bimodal with peaks near 2310.500 and 3542.767. Valley at 3234.700 separates the two modes, placing 97% of dictionaries on the unfavorable side. WIDENED: original threshold would have flagged reference dict(s), adjusted to 949.050 so all 4 references pass.",53,68,1125.000; 999.000; 2343.000; 3668.000
morph_low_tag_coverage,morph_tag_coverage,low,0.3597,bimodal_valley,"Distribution is bimodal with peaks near 0.229 and 0.752. Valley at 0.360 separates the two modes, placing 48% of dictionaries on the unfavorable side.",29,60,0.854; 0.779; 0.965; 0.968
parcor_too_few_rows,parcor_rows,low,1941.8,bimodal_valley_widened_for_references,"Distribution is bimodal with peaks near 2016.400 and 3703.600. Valley at 3141.200 separates the two modes, placing 85% of dictionaries on the unfavorable side. WIDENED: original threshold would have flagged reference dict(s), adjusted to 1941.800 so all 4 references pass.",46,68,2942.000; 2281.000; 2044.000; 4762.000
parcor_high_null_rate,parcor_null_rate,high,0.1121,quantile_90,Distribution is unimodal; threshold set at the 90% percentile (0.112) so that roughly 10% of dictionaries are flagged.,7,68,0.003; 0.029; 0.007; 0.000
parcor_high_placeholders,parcor_placeholder_rate,high,0.697,quantile_75_widened_for_references,"Distribution is unimodal; threshold set at the 75% percentile (0.514) so that roughly 25% of dictionaries are flagged. WIDENED: original threshold would have flagged reference dict(s), adjusted to 0.697 so all 4 references pass.",3,68,0.664; 0.343; 0.009; 0.001
parcor_high_short_rows,parcor_short_rate,high,0.4785,bimodal_valley,"Distribution is bimodal with peaks near 0.136 and 0.674. Valley at 0.478 separates the two modes, placing 21% of dictionaries on the unfavorable side.",14,68,0.087; 0.121; 0.264; 0.130
