dict_id,n_gold_rows,recall_anywhere,recall_billex,recall_morph,kata_tujuan_dl_n,kata_tujuan_dl_mean,kata_tujuan_dl_pct_085,kata_tujuan_dl_pct_090,kata_tujuan_dl_pct_100,form_dl_n,form_dl_mean,form_dl_pct_085,form_dl_pct_090,form_dl_pct_100,makna_dl_n,makna_dl_mean,makna_dl_pct_085,makna_dl_pct_090,makna_dl_pct_100,n_parcor_gold,parcor_found_rate,parcor_asal_dl_mean,parcor_tujuan_dl_mean,parcor_avg_dl_mean,parcor_pct_avg_085
18,260,0.6192,0.6115,0.2962,126,0.8035,0.6508,0.6111,0.5397,61,0.7869,0.7869,0.7869,0.7869,25,0.529,0.32,0.32,0.28,0,,,,,
34,26,0.1538,0.0769,0.1154,2,0.2,0.0,0.0,0.0,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,,,,
42,40,0.2,0.075,0.15,0,,,,,4,1.0,1.0,1.0,1.0,3,0.1051,0.0,0.0,0.0,22,0.0,,,,
54,213,0.2113,0.0939,0.1362,18,0.3679,0.2778,0.2778,0.2778,23,0.5797,0.4783,0.4783,0.4783,2,0.0,0.0,0.0,0.0,141,0.0,,,,
68,178,0.8989,0.8989,0.4831,107,0.7194,0.5514,0.5234,0.4673,86,0.9477,0.9419,0.9419,0.9419,54,0.568,0.537,0.4815,0.2222,168,0.0,,,,
71,149,0.698,0.698,0.0134,102,0.9665,0.9412,0.9314,0.9216,2,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,126,0.0,,,,
89,155,0.9871,0.9871,0.1355,149,0.8872,0.8389,0.8322,0.8255,20,0.9,0.9,0.9,0.9,9,0.7672,0.5556,0.5556,0.4444,142,0.0,,,,
