dict_id,n_gold_rows,recall_anywhere,recall_billex,recall_morph,kata_tujuan_dl_n,kata_tujuan_dl_mean,kata_tujuan_dl_pct_085,kata_tujuan_dl_pct_090,kata_tujuan_dl_pct_100,form_dl_n,form_dl_mean,form_dl_pct_085,form_dl_pct_090,form_dl_pct_100,makna_dl_n,makna_dl_mean,makna_dl_pct_085,makna_dl_pct_090,makna_dl_pct_100,n_parcor_gold,parcor_found_rate,parcor_asal_dl_mean,parcor_tujuan_dl_mean,parcor_avg_dl_mean,parcor_pct_avg_085
18,260,0.6615,0.6462,0.2269,128,0.8219,0.7109,0.7031,0.6719,53,0.7799,0.7736,0.7736,0.7736,29,0.3878,0.2414,0.2414,0.1724,0,,,,,
34,26,0.1538,0.1538,0.1538,4,0.2273,0.25,0.25,0.0,2,0.0,0.0,0.0,0.0,1,0.0541,0.0,0.0,0.0,1,0.0,,,,
42,40,0.2,0.2,0.125,3,0.0324,0.0,0.0,0.0,4,1.0,1.0,1.0,1.0,4,0.2801,0.0,0.0,0.0,22,0.3182,0.0829,0.1089,0.0959,0.0
54,213,0.2864,0.2817,0.1127,53,0.9722,0.9623,0.9623,0.9434,23,0.4493,0.3478,0.3478,0.3478,0,,,,,141,0.1844,0.4517,0.5015,0.4766,0.3077
68,178,0.8876,0.8876,0.4888,105,0.6975,0.5905,0.5619,0.5429,87,0.9377,0.931,0.931,0.931,54,0.5755,0.5,0.4815,0.2037,168,0.2917,0.5649,0.6752,0.62,0.4694
71,149,0.7047,0.7047,0.0268,103,0.9679,0.9417,0.9417,0.932,4,0.6667,0.5,0.5,0.5,4,0.25,0.25,0.25,0.25,126,0.1587,0.8198,0.9309,0.8754,0.75
89,155,0.9548,0.9548,0.1355,145,0.8902,0.8414,0.8345,0.8276,20,0.8,0.8,0.8,0.8,8,0.375,0.375,0.375,0.375,142,0.7676,0.9643,0.9254,0.9448,0.8899
