dict_id,n_gold_rows,recall_anywhere,recall_billex,recall_morph,kata_tujuan_dl_n,kata_tujuan_dl_mean,kata_tujuan_dl_pct_085,kata_tujuan_dl_pct_090,kata_tujuan_dl_pct_100,form_dl_n,form_dl_mean,form_dl_pct_085,form_dl_pct_090,form_dl_pct_100,makna_dl_n,makna_dl_mean,makna_dl_pct_085,makna_dl_pct_090,makna_dl_pct_100,n_parcor_gold,parcor_found_rate,parcor_asal_dl_mean,parcor_tujuan_dl_mean,parcor_avg_dl_mean,parcor_pct_avg_085
18,260,0.6615,0.6462,0.2269,128,0.8106,0.6875,0.6562,0.6172,53,0.7799,0.7736,0.7736,0.7736,29,0.3878,0.2414,0.2414,0.1724,0,,,,,
34,26,0.1923,0.1923,0.1923,5,0.3402,0.2,0.2,0.0,2,0.0,0.0,0.0,0.0,2,0.027,0.0,0.0,0.0,1,0.0,,,,
42,40,0.175,0.175,0.15,2,0.5486,0.5,0.5,0.5,5,1.0,1.0,1.0,1.0,4,0.2801,0.0,0.0,0.0,22,0.0,,,,
54,213,0.277,0.2723,0.1033,52,0.9717,0.9615,0.9615,0.9423,21,0.4444,0.3333,0.3333,0.3333,0,,,,,141,0.0,,,,
68,178,0.8876,0.8876,0.4888,105,0.6967,0.5905,0.5619,0.5429,87,0.9377,0.931,0.931,0.931,54,0.5755,0.5,0.4815,0.2037,168,0.0,,,,
71,149,0.7047,0.7047,0.0268,103,0.9679,0.9417,0.9417,0.932,4,0.6667,0.5,0.5,0.5,4,0.25,0.25,0.25,0.25,126,0.0,,,,
89,155,0.9548,0.9548,0.1355,145,0.8902,0.8414,0.8345,0.8276,20,0.8,0.8,0.8,0.8,8,0.375,0.375,0.375,0.375,142,0.0,,,,
