dict_id,direction,direction_known,prep_rows,prep_anomali_rate,billex_rows,billex_null_rate,billex_empty_ind_rate,billex_empty_reg_rate,billex_multiword_ind_rate,billex_multiword_reg_rate,billex_identical_rate,billex_duplicate_rate,billex_vocab_size_ind,billex_vocab_size_reg,billex_total_tokens_ind,billex_total_tokens_reg,billex_ttr_ind,billex_ttr_reg,billex_suspicious_char_rate,billex_mean_len_ind,billex_mean_len_reg,morph_rows,morph_tag_coverage,morph_inline_pos_rate,morph_mean_form_tokens,morph_duplicate_rate,morph_tag_pct_n,morph_tag_pct_v,morph_tag_pct_vt,morph_tag_pct_vi,morph_tag_pct_a,morph_tag_pct_adv,parcor_rows,parcor_null_rate,parcor_placeholder_rate,parcor_short_rate,parcor_imbalanced_rate,parcor_duplicate_rate,parcor_mean_len_asal,parcor_mean_len_tujuan,morph_fixed_rows,morph_fixed_tag_coverage,morph_fixed_inline_pos_rate,morph_fixed_mean_form_tokens,morph_fixed_duplicate_rate,morph_fixed_tag_pct_n,morph_fixed_tag_pct_v,morph_fixed_tag_pct_vt,morph_fixed_tag_pct_vi,morph_fixed_tag_pct_a,morph_fixed_tag_pct_adv,parcor_fixed_rows,parcor_fixed_null_rate,parcor_fixed_placeholder_rate,parcor_fixed_short_rate,parcor_fixed_imbalanced_rate,parcor_fixed_duplicate_rate,parcor_fixed_mean_len_asal,parcor_fixed_mean_len_tujuan,violations_prefix,violation_count_prefix,tier_prefix,violations_postfix,violation_count_postfix,tier_postfix
13,1,True,1025,0.6224,254,0.0,0.0,0.0,0.1063,0.2008,0.0276,0.0984,274.0,191.0,413.0,221.0,0.6634,0.8643,0.0,10.07,6.43,143,0.2727,0.2727,4.64,0.2657,0.7436,0.0513,0.0,0.0,0.2051,0.0,588,0.034,0.3571,0.2143,0.0697,0.0,57.69,57.82,143,0.6643,0.0,1.91,0.3706,0.4947,0.0316,0.1789,0.1579,0.1368,0.0,588,0.034,0.0017,0.2143,0.0697,0.0,57.69,57.82,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_placeholders,3,broken,billex_high_multiword_ind,1,needs_attention
14,1,True,1258,0.6161,406,0.0,0.0,0.0025,0.3498,0.1404,0.0369,0.0123,748.0,363.0,1208.0,413.0,0.6192,0.8789,0.0,19.68,6.92,93,0.5161,0.4516,3.28,0.3548,0.2917,0.6667,0.0,0.0,0.0417,0.0,997,0.012,0.3892,0.1565,0.0632,0.0,52.18,52.18,93,0.9892,0.0,1.19,0.4731,0.337,0.6196,0.0,0.0217,0.0217,0.0,997,0.012,0.007,0.1565,0.0632,0.0,52.18,52.18,billex_high_multiword_ind;parcor_high_placeholders,2,needs_attention,billex_high_multiword_ind,1,needs_attention
15,1,True,1500,0.704,401,0.005,0.005,0.0025,0.217,0.1072,0.0574,0.0025,552.0,336.0,607.0,368.0,0.9094,0.913,0.0,10.49,5.95,155,0.6452,0.129,1.9,0.0387,0.31,0.66,0.0,0.0,0.03,0.0,711,0.0647,0.4248,0.2433,0.045,0.0084,45.99,47.29,155,0.7935,0.0,1.5,0.0387,0.3252,0.6016,0.0081,0.0081,0.0244,0.0163,711,0.0647,0.0042,0.2433,0.045,0.0084,45.99,47.29,billex_high_multiword_ind;parcor_high_null_rate;parcor_high_placeholders,3,broken,billex_high_multiword_ind;parcor_high_null_rate,2,needs_attention
16,1,True,4108,0.3734,1916,0.0,0.0,0.0026,0.1268,0.1649,0.0167,0.1153,1413.0,972.0,2342.0,1404.0,0.6033,0.6923,0.0,7.93,5.18,471,0.7516,0.1826,3.11,0.2569,0.887,0.0537,0.0,0.0,0.0395,0.0113,1889,0.0402,0.5484,0.2605,0.0561,0.0106,22.28,24.12,471,0.9533,0.0,1.25,0.3121,0.7706,0.0512,0.029,0.0935,0.0401,0.0089,1889,0.0402,0.0053,0.2605,0.0561,0.0106,22.28,24.12,billex_high_multiword_ind;billex_high_duplicates;parcor_high_placeholders,3,broken,billex_high_multiword_ind;billex_high_duplicates,2,needs_attention
17,0,True,2161,0.9815,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,21.0,1.0,0.9524,1.0,0.0,21.86,2.43,4,0.0,0.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1673,0.0155,0.4441,0.3025,0.0628,0.0,7.54,8.24,4,0.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1673,0.0155,0.0084,0.3025,0.0628,0.0,7.54,8.24,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,6,broken,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_high_short_rows,4,broken
18,0,True,14890,0.3294,9877,0.0002,0.0002,0.0007,0.1449,0.1581,0.035,0.0165,10147.0,4485.0,13829.0,8667.0,0.7337,0.5175,0.0834,9.56,6.75,2684,0.7269,0.1189,1.79,0.1092,0.2209,0.6299,0.0,0.0,0.101,0.0456,2341,0.0436,0.0239,0.6561,0.0457,0.0162,3.2,3.74,2684,0.8748,0.0,1.13,0.1356,0.2053,0.6158,0.0273,0.0072,0.098,0.0443,2341,0.0436,0.0073,0.6561,0.0457,0.0162,3.2,3.74,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention
19,1,True,8562,0.2683,5380,0.0,0.0,0.0007,0.1383,0.1119,0.1361,0.0009,6297.0,3901.0,7028.0,5057.0,0.896,0.7714,0.0269,8.82,6.42,2032,0.5694,0.3711,2.97,0.0123,0.8712,0.0596,0.0,0.0,0.0475,0.019,5579,0.0088,0.4004,0.3854,0.0525,0.0004,3.98,4.82,2032,0.9439,0.0,1.15,0.0162,0.6272,0.0428,0.2513,0.0276,0.036,0.013,5579,0.0088,0.0088,0.3854,0.0525,0.0005,3.98,4.82,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,3,broken,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention
20,0,True,2109,0.9981,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1719,0.0111,0.7208,0.0925,0.0948,0.0017,7.61,7.0,0,,,,,,,,,,,1719,0.0111,0.0035,0.0925,0.0948,0.0029,7.61,7.0,billex_too_few_rows;morph_too_few_rows;parcor_high_placeholders,3,broken,billex_too_few_rows;morph_too_few_rows,2,needs_attention
21,1,True,2997,0.4828,1485,0.0,0.0,0.0,0.1562,0.2505,0.0,0.004,1821.0,1162.0,2055.0,1617.0,0.8861,0.7186,0.0003,10.0,7.5,482,0.6037,0.3071,2.13,0.0353,0.2921,0.6632,0.0,0.0,0.0378,0.0069,2019,0.0154,0.6166,0.3135,0.1213,0.0005,6.48,6.99,482,0.9129,0.0,1.31,0.0415,0.3182,0.6159,0.0,0.0,0.05,0.0114,2019,0.0154,0.0094,0.3135,0.1213,0.0005,6.48,6.99,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,3,broken,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention
22,0,True,366,0.9672,5,0.0,0.0,0.0,1.0,0.2,0.0,0.0,40.0,2.0,41.0,2.0,0.9756,1.0,0.0,49.8,3.2,0,,,,,,,,,,,88,0.0341,0.4886,0.1023,0.0682,0.0,347.03,346.05,0,,,,,,,,,,,88,0.0341,0.0114,0.1023,0.0682,0.0,347.03,346.05,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_too_few_rows;parcor_high_placeholders,5,broken,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;parcor_too_few_rows,4,broken
