dict_id,n_gold_rows,recall_anywhere,recall_billex,recall_morph,kata_tujuan_dl_n,kata_tujuan_dl_mean,kata_tujuan_dl_pct_085,kata_tujuan_dl_pct_090,kata_tujuan_dl_pct_100,form_dl_n,form_dl_mean,form_dl_pct_085,form_dl_pct_090,form_dl_pct_100,makna_dl_n,makna_dl_mean,makna_dl_pct_085,makna_dl_pct_090,makna_dl_pct_100,n_parcor_gold,parcor_found_rate,parcor_asal_dl_mean,parcor_tujuan_dl_mean,parcor_avg_dl_mean,parcor_pct_avg_085
18,260,0.6192,0.6115,0.2962,126,0.8196,0.7063,0.6825,0.6349,61,0.7869,0.7869,0.7869,0.7869,25,0.529,0.32,0.32,0.28,0,,,,,
34,26,0.1538,0.0769,0.1154,2,0.2389,0.0,0.0,0.0,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,,,,
42,40,0.225,0.1,0.175,1,0.0972,0.0,0.0,0.0,5,1.0,1.0,1.0,1.0,3,0.0933,0.0,0.0,0.0,22,0.0,,,,
54,213,0.216,0.0845,0.1502,16,0.4019,0.3125,0.3125,0.3125,26,0.6026,0.5,0.5,0.5,2,0.0,0.0,0.0,0.0,141,0.0,,,,
68,178,0.8989,0.8989,0.4831,107,0.7369,0.6075,0.5794,0.5607,86,0.9477,0.9419,0.9419,0.9419,54,0.568,0.537,0.4815,0.2222,168,0.0,,,,
71,149,0.698,0.698,0.0134,102,0.9676,0.9412,0.9412,0.9314,2,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,126,0.0,,,,
89,155,0.9871,0.9871,0.1355,149,0.8876,0.8389,0.8322,0.8255,20,0.9,0.9,0.9,0.9,9,0.7672,0.5556,0.5556,0.4444,142,0.0,,,,
